Domain UniProt ID,PepInt Model,Use sequence,Sequence
P00519,ABL1,0,
P42684,ABL2,0,
O14492,APS,0,
O75815,BCAR3,0,
P51451,BLK,0,
P51813,BMX,0,
Q9ULZ2,BRDG1,0,
Q06187,BTK,0,
P46108,CRK,0,
P46109,CRKL,0,
Q8IZW8,CTEN,0,
O14796,EAT2,0,
P16591,FER,0,
P07332,FES,0,
P09769,FGR,0,
P42685,FRK,0,
O75791,GRAP2,0,
Q13322,GRB10,0,
Q14449,GRB14,0,
P62993,GRB2,0,
P08631,HCK,0,
O15357,INPPL1,0,
Q08881,ITK,0,
P06239,LCK,0,
Q13094,LCP2,0,
P07948,LYN,0,
P42679,MATK,0,
Q7Z7G1,MIST,0,
P16333,NCK1,0,
O43639,NCK2,0,
Q13882,PTK6,0,
Q9NRF2,SH2B,0,
O60880,SH2D1A,0,
Q9NP31,SH2D2A,0,
Q8N5H7,SH2D3C,0,
P29353,SHC1,0,
Q92529,SHC3,0,
O14508,SOCS2,0,
O75159,SOCS5,0,
P12931,SRC,0,
P42680,TEC,0,
Q63HR2,TENC1,0,
Q9HBL0,TENS1,0,
Q9HBL0,TNS,0,
P42681,TXK,0,
P15498,VAV1,0,
P52735,VAV2,0,
P07947,YES1,0,
