Domain UniProt ID,NetPhorest Model,Use sequence,Sequence
P21709,Eph_group,0,
P29317,Eph_group,0,
P29320,Eph_group,0,
P54764,Eph_group,0,
P54756,Eph_group,0,
Q9UF33,Eph_group,0,
Q15375,Eph_group,0,
P29322,Eph_group,0,
Q5JZY3,Eph_group,0,
P54762,Eph_group,0,
P29323,Eph_group,0,
P54753,Eph_group,0,
P54760,Eph_group,0,
O15197,Eph_group,0,
P00519,Abl_group,0,
P42684,Abl_group,0,
P07333,FLT3_CSF1R_Kit_PDGFR_group,0,
P10721,FLT3_CSF1R_Kit_PDGFR_group,0,
P36888,FLT3_CSF1R_Kit_PDGFR_group,0,
P16234,FLT3_CSF1R_Kit_PDGFR_group,0,
P09619,FLT3_CSF1R_Kit_PDGFR_group,0,
O60674,JAK2,0,
O60674,JAK2,0,
P35968,KDR_FLT1_group,0,
P17948,KDR_FLT1_group,0,
P08581,Met_group,0,
Q04912,Met_group,0,
P43405,Syk_group,0,
P43403,Syk_group,0,
Q06187,Tec_group,0,
P51813,Tec_group,0,
Q08881,Tec_group,0,
P42680,Tec_group,0,
P42681,Tec_group,0,
P04629,Trk_group,0,
Q16620,Trk_group,0,
Q16288,Trk_group,0,
P29597,Tyk2,0,
P00533,EGFR_group,0,
P04626,EGFR_group,0,
P21860,EGFR_group,0,
Q15303,EGFR_group,0,
P06213,InsR_group,0,
P08069,InsR_group,0,
P14616,InsR_group,0,
P51451,Src_group,0,
P08631,Src_group,0,
P07948,Src_group,0,
P06239,Src_group,0,
P09769,Src_group,0,
P42685,Src_group,0,
P06241,Src_group,0,
P12931,Src_group,0,
P07947,Src_group,0,
Q13882,Src_group,0,
Q9H3Y6,Src_group,0,
